Cуммы положительных и отрицательных элементов строки матрицы: 
 Cумма положительных элементов 1-й строки матрицы = 11.
 Cумма отрицательных элементов 1-й строки матрицы = 0.
 Cумма положительных элементов 2-й строки матрицы = 22.
 Cумма отрицательных элементов 2-й строки матрицы = -10.
 Cумма положительных элементов 3-й строки матрицы = 22.
 Cумма отрицательных элементов 3-й строки матрицы = -11.
 Cумма положительных элементов 4-й строки матрицы = 19.
 Cумма отрицательных элементов 4-й строки матрицы = -12.
 Cумма положительных элементов 5-й строки матрицы = 19.
 Cумма отрицательных элементов 5-й строки матрицы = -24.
